auto_namer.py  –  Results
============================================================

Pass 1  (string refs):        0
Pass 2  (thunks):           143
Pass 3  (call patterns):    617
Pass 4  (stubs/nops):       168
──────────────────────────────
Total named this run:       928
Previously unnamed:        8634
Coverage:                 10.7%

============================================================
DETAIL (sorted by address)
============================================================
  0x820C0C48  thunk_fn_820C2BA0                                   [thunk -> fn_820C2BA0]
  0x820C1B90  game_1B90                                           [calls 3x into 'game' module]
  0x820C30F8  game_30F8                                           [calls 2x into 'game' module]
  0x820C7F58  game_7F58                                           [calls 3x into 'game' module]
  0x820C88D8  rage_88D8                                           [calls 2x into 'rage' module]
  0x820C8958  game_8958                                           [calls 4x into 'game' module]
  0x820C9CF8  game_9CF8                                           [calls 2x into 'game' module]
  0x820CA9A0  game_A9A0                                           [calls 2x into 'game' module]
  0x820CF038  rage_F038                                           [calls 2x into 'rage' module]
  0x820CF3A8  rage_F3A8                                           [calls 2x into 'rage' module]
  0x820CFE20  game_FE20                                           [calls 8x into 'game' module]
  0x820D1770  game_1770                                           [calls 3x into 'game' module]
  0x820D59A8  game_59A8                                           [calls 4x into 'game' module]
  0x820D67C8  game_67C8                                           [calls 3x into 'game' module]
  0x820D6838  game_6838                                           [calls 4x into 'game' module]
  0x820D68A8  game_68A8                                           [calls 4x into 'game' module]
  0x820D6990  game_6990                                           [calls 4x into 'game' module]
  0x820D74F8  game_74F8                                           [calls 4x into 'game' module]
  0x820D7E68  rage_7E68                                           [calls 6x into 'rage' module]
  0x820DCC60  rage_CC60                                           [calls 5x into 'rage' module]
  0x820DE500  rage_E500                                           [calls 2x into 'rage' module]
  0x820DE690  rage_E690                                           [calls 2x into 'rage' module]
  0x820DFF70  rage_FF70                                           [calls 4x into 'rage' module]
  0x820E39C0  rage_39C0                                           [calls 3x into 'rage' module]
  0x820E3A50  rage_3A50                                           [calls 4x into 'rage' module]
  0x820E3CD0  rage_3CD0                                           [calls 2x into 'rage' module]
  0x820E7740  memmov_7740                                         [calls 2x into 'memmov' module]
  0x820EC748  rage_C748                                           [calls 3x into 'rage' module]
  0x820EC9F0  game_C9F0                                           [calls 2x into 'game' module]
  0x820EEA70  rage_EA70                                           [calls 2x into 'rage' module]
  0x820EF008  rage_F008                                           [calls 2x into 'rage' module]
  0x820F12E0  rage_12E0                                           [calls 2x into 'rage' module]
  0x820F5710  rage_5710                                           [calls 2x into 'rage' module]
  0x820F6618  game_6618                                           [calls 3x into 'game' module]
  0x820F8250  game_8250                                           [calls 4x into 'game' module]
  0x820F95A8  nop_95A8                                            [stub/nop body]
  0x820FA388  rage_A388                                           [calls 19x into 'rage' module]
  0x820FAE38  game_AE38                                           [calls 2x into 'game' module]
  0x820FB028  game_B028                                           [calls 3x into 'game' module]
  0x820FB8B8  game_B8B8                                           [calls 3x into 'game' module]
  0x820FD1A0  thunk_fn_820FBB58                                   [thunk -> fn_820FBB58]
  0x82100640  game_0640                                           [calls 4x into 'game' module]
  0x82100DD0  game_0DD0                                           [calls 3x into 'game' module]
  0x82106258  game_6258                                           [calls 2x into 'game' module]
  0x821062A0  game_62A0                                           [calls 2x into 'game' module]
  0x82107A90  thunk_game_6A60                                     [thunk -> game_6A60]
