auto_namer_v5b Results
======================================================================

Pass P1    :     0
Pass P1r   :    52
Pass P2    :     0
Pass P6    :     0
Pass P7    :     1
Pass P8f   :   842
Pass P8fw  :    21
Pass P8r   :   658
Pass P8rh  :   156
Pass P9    :     0
Pass P10   :     0
Total renames:    1730
fn_8 fixed:       1678
Remaining:        5404
Coverage:         23.7%

======================================================================
DETAIL
======================================================================
  [P8rh ] 0x820C0BA0  ref_0BA0_h                                               rev private helper 'ref' sz=76
  [P8f  ] 0x820C1188  rage_1188                                                fwd 2/4 'rage'
  [P8f  ] 0x820C1CE8  game_1CE8                                                fwd 2/6 'game'
  [P8f  ] 0x820C1E68  game_1E68                                                fwd 2/5 'game'
  [P8r  ] 0x820C32B8  rage_32B8                                                rev 2/2 callers 'rage'
  [P8r  ] 0x820C3540  rage_3540                                                rev 2/2 callers 'rage'
  [P8rh ] 0x820C3870  ph_3870_h                                                rev private helper 'ph' sz=56
  [P8r  ] 0x820C5378  pongCreatureInst_5378                                    rev 2/3 callers 'pongCreatureInst'
  [P1r  ] 0x820C7A28  pongCreature_Teleport                                    string ref (was pongCreature_Teleport_7A28_7A28_7A28_7A28_7A28_7A28_7A28_7A28)
  [P8f  ] 0x820C7F58  game_7F58                                                fwd 2/3 'game'
  [P8f  ] 0x820C8958  game_8958                                                fwd 3/9 'game'
  [P1r  ] 0x820C9340  pongBlendShapeController_UpdateBlendShape                string ref (was pongBlendShapeController_UpdateBlendShape_9340_9340_9340_9340_9340_9340_9340_9340)
  [P8f  ] 0x820C9CF8  game_9CF8                                                fwd 2/4 'game'
  [P1r  ] 0x820C9F40  pongMover_Reset                                          string ref (was pongMover_Reset_9F40_9F40_9F40_9F40_9F40_9F40_9F40_9F40)
  [P8f  ] 0x820CA9A0  game_A9A0                                                fwd 2/5 'game'
  [P1r  ] 0x820CAC78  pongMover_CalcInitMatrix                                 string ref (was pongMover_CalcInitMatrix_AC78_AC78_AC78_AC78_AC78_AC78_AC78_AC78)
  [P8r  ] 0x820CB368  game_B368                                                rev 2/2 callers 'game'
  [P8r  ] 0x820CB768  cmSmoothRemap_B768                                       rev 10/13 callers 'cmSmoothRemap'
  [P1r  ] 0x820CC490  pcrFaceAnimBlender_StartPostPoint                        string ref (was pcrFaceAnimBlender_StartPostPoint_C490_C490_C490_C490_C490_C490_C490_C490)
  [P8f  ] 0x820CDDC0  game_DDC0_DDC0                                           fwd 4/4 'game'
  [P8f  ] 0x820CDE98  game_DE98_DE98                                           fwd 3/3 'game'
  [P8f  ] 0x820CF0F0  game_F0F0_F0F0                                           fwd 2/5 'game'
  [P8r  ] 0x820CF420  game_F420                                                rev 2/4 callers 'game'
  [P8f  ] 0x820CFF60  game_FF60                                                fwd 4/9 'game'
  [P8f  ] 0x820D04F0  game_04F0_04F0                                           fwd 2/2 'game'
  [P8r  ] 0x820D0550  game_0550                                                rev 2/5 callers 'game'
  [P8f  ] 0x820D0658  game_0658                                                fwd 3/3 'game'
  [P8f  ] 0x820D1770  game_1770                                                fwd 3/5 'game'
  [P8f  ] 0x820D1BB0  game_1BB0_1BB0                                           fwd 3/6 'game'
  [P8f  ] 0x820D1EC0  game_1EC0                                                fwd 3/4 'game'
  [P8r  ] 0x820D3398  pongLocomotionController_3398                            rev 2/5 callers 'pongLocomotionController'
  [P8r  ] 0x820D5138  game_5138_5138                                           rev 4/8 callers 'game'
  [P8f  ] 0x820D59A8  game_59A8                                                fwd 4/4 'game'
  [P8f  ] 0x820D67C8  game_67C8                                                fwd 2/4 'game'
  [P8f  ] 0x820D6838  game_6838                                                fwd 2/3 'game'
  [P8f  ] 0x820D68A8  game_68A8                                                fwd 3/4 'game'
  [P8f  ] 0x820D6918  game_6918_6918                                           fwd 2/3 'game'
  [P8f  ] 0x820D6990  game_6990                                                fwd 2/3 'game'
  [P8rh ] 0x820D6D20  game_6D20_h                                              rev private helper 'game' sz=36
  [P8r  ] 0x820D7358  game_7358_7358                                           rev 2/4 callers 'game'
  [P8f  ] 0x820D7688  game_7688                                                fwd 4/5 'game'
