; ===================================================================
; ALL VTABLES ALPHABETICALLY
; Rockstar Table Tennis  -  default.xex  (pong_xenon_final.pe)
; Build: May 11 2006  |  SDK v2.0.2417  |  TT-2015
; Load base: 0x82000000  |  Entry: 0x8242BD20
; PDB: c:\soft_xpong\xpong\game\src\pong\xenon_final\pong.pdb
; ===================================================================

; ADDRESS       VFUNCS  CLASS NAME
; ------------  ------  --------------------------------------------------

  0x8206ED58       7  AcceptMessage
  0x8206ED80       7  AcceptSpectatorMessage
  0x8206FFF4       0  AckHandling
  0x8204E312       3  Allocator_datBitBuffer_rage
  0x8206EF70       8  BallHitMessage
  0x8203ACBE       7  CBiquadFilterEffect
  0x8203AC72       6  CCompEffect
  0x8203AC96       7  CDelayEffect
  0x82035C2D      12  CMtoCSAdapter
  0x8203AC08       7  CPeakMeterEffect
  0x8203AC30       7  CShelvingFilterEffect
  0x8206F480       7  CancelLobbyCountdownMessage
  0x8206F0D8       7  DataRequestFailedMessage
  0x8206ECB8       7  DataRequestMessage
  0x8206ECE0       7  DataSendMessage
  0x8206F144       7  DenySpectatorMessage
  0x8206EDF8       7  DisconnectingSinglesClientMessage
  0x8206F0FC       7  DropSpectatorConnection
  0x8206F288       7  EnteringReplayMessage
  0x8206FBD1       0  EventBase
  0x8206FBDD       0  EventSwingStart
  0x82070980       2  EvtAcceptJoinRequestFailed_rage
  0x8207096C       2  EvtAcceptJoinRequestSucceeded_rage
  0x82070D04       2  EvtAcceptLeaveRequestFailed_rage
  0x82070CF0       2  EvtAcceptLeaveRequestSucceeded_rage
  0x82070FD0       2  EvtAcquireHostFailed_rage
  0x82070FC0       2  EvtAcquireHostSucceeded_rage
  0x82070674       2  EvtApplyConfigFailed_rage
  0x82070F50       2  EvtArbGuestRegister_rage
  0x820741AA       2  EvtArbRegisterFailed_rage
  0x82074196       2  EvtArbRegisterSucceeded_rage
  0x820704F0       2  EvtChangePresenceFailed_rage
  0x820704E0       2  EvtChangePresenceSucceeded_rage
  0x820705EC       2  EvtChangePresence_rage
  0x82070624       2  EvtClosedConnection_rage
  0x82070640       2  EvtCreateFailed_rage
  0x820706AC       2  EvtCreateSucceeded_rage
  0x820705B8       2  EvtDestroyFailed_rage
  0x820705A4       2  EvtDestroySucceeded_rage
  0x82070594       2  EvtDestroy_rage
  0x82074151       2  EvtDoGuestMigrate_rage
  0x82070610       2  EvtDroppedConnection_rage
  0x82070580       2  EvtEndFailed_rage
  0x82070570       2  EvtEndSucceeded_rage
  0x8207055C       2  EvtEnd_rage
  0x82073EA9       2  EvtFindSessionCancel_rage
  0x82073ECD       2  EvtFindSessionOnline_rage
  0x82073EBD       2  EvtFindSessionSyslink_rage
  0x82070650       2  EvtGuestCreateSucceeded_rage
  0x820705DC       2  EvtGuestCreate_rage
  0x820704CC       2  EvtHostChangePresenceSucceeded_rage
  0x820705C8       2  EvtHostCreate_rage
  0x820740B0       2  EvtJoinAccepted_rage
  0x820740C0       2  EvtJoinDenied_rage
  0x820708F0       2  EvtJoinFailed_rage
  0x820709EC       2  EvtJoinReply_rage
  0x820709D8       2  EvtJoinRequest_rage
  0x820708DC       2  EvtJoinSucceeded_rage
  0x820709B4       2  EvtJoin_rage
  0x82070600       2  EvtKillConnection_rage
  0x820740F8       2  EvtLeaveAccepted_rage
  0x82074108       2  EvtLeaveDenied_rage
  0x82070C74       2  EvtLeaveFailed_rage
  0x82070D5C       2  EvtLeaveRequest_rage
  0x82070C60       2  EvtLeaveSucceeded_rage
  0x82070D38       2  EvtLeave_rage
  0x82070914       2  EvtLocalJoinFailed_rage
  0x82070900       2  EvtLocalJoinSucceeded_rage
  0x82070C98       2  EvtLocalLeaveFailed_rage
  0x82070C84       2  EvtLocalLeaveSucceeded_rage
  0x82070FF4       2  EvtMigrateAsGuestFailed_rage
  0x82070FE4       2  EvtMigrateAsGuestSucceeded_rage
  0x82070514       2  EvtMigrateFailed_rage
  0x82070FAC       2  EvtMigrateSession_rage
  0x82070504       2  EvtMigrateSucceeded_rage
  0x82074138       2  EvtReceivedConfig_rage
  0x82070938       2  EvtRemoteJoinFailed_rage
  0x82070924       2  EvtRemoteJoinSucceeded_rage
  0x820709C8       2  EvtRemoteJoin_rage
  0x82070CBC       2  EvtRemoteLeaveFailed_rage
  0x82070CA8       2  EvtRemoteLeaveSucceeded_rage
  0x82070D4C       2  EvtRemoteLeave_rage
  0x82070664       2  EvtRequestConfigFailed_rage
  0x8207095C       2  EvtRequestJoinFailed_rage
  0x82070948       2  EvtRequestJoinSucceeded_rage
  0x82070CE0       2  EvtRequestLeaveFailed_rage
  0x82070CCC       2  EvtRequestLeaveSucceeded_rage
  0x820709A4       2  EvtSessionJoinFailed_rage
  0x82070990       2  EvtSessionJoinSucceeded_rage
  0x82070D28       2  EvtSessionLeaveFailed_rage
  0x82070D14       2  EvtSessionLeaveSucceeded_rage
  0x82074178       2  EvtSessionMigrateFailed_rage
  0x82074164       2  EvtSessionMigrateSucceeded_rage
  0x8207054C       2  EvtStartFailed_rage
  0x82070688       2  EvtStartInProgressSession_rage
  0x82070698       2  EvtStartSessionFailed_rage
  0x82070538       2  EvtStartSucceeded_rage
  0x82070528       2  EvtStart_rage
  0x8206F0B4       7  ExitPostGameMessage
  0x82044C90      13  Find_mcMemcardControl
  0x8206EA9C       7  ForceMatchTimeSyncMessage
  0x8206EB08       7  ForceSessionTimeSyncMessage
  0x8206EF38       7  ForfeitMatchMessage
  0x82044E70      13  Format_mcMemcardControl
  0x82070000       0  FrameTimeEstimate
  0x8206E76A       5  Gamer
  0x8206F360       7  GamerReadyMessage
  0x8206F384       7  GamerUpdateMessage
  0x82044E34      13  GetFreeSpace_mcMemcardControl
  0x820375E0      15  H_SmoothLookAt_LimitedTilt_cmSampleCamActions_rage
  0x8206EA04       7  HitDataMessage
  0x8206EA2C       8  HitMessage
  0x82044C54      13  Idle_mcMemcardControl
  0x8206F2F4       7  InternalMessageRelay
  0x8206F18C       7  JoinSpectatorSessionMessage
  0x820668B0       1  JoinWorker_rlSession_rage
  0x8206EC40       7  JunkSwingStartedMessage
  0x8206F1B0       7  LeaveSpectatorSessionMessage
  0x820668BC       1  LeaveWorker_rlSession_rage
  0x8206EDA8       7  LevelConfigMessage
  0x8206F318       7  LoadDataQuery
  0x8206F33C       7  LoadDataQueryResponse
  0x82044D08      13  Load_mcMemcardControl
  0x8206EEE8       7  LoadingStateRequestMessage
  0x8206EF10       7  LoadingStateResponseMessage
  0x8202DB7C      17  LocomotionController
  0x8202DAA1      16  LocomotionState
  0x8202DAEC      16  LocomotionStateAnim
  0x8202DB34      16  LocomotionStateMf
  0x820678B4      21  LogicNetworkClient
  0x8202F7DC       0  MatchData
  0x8206F414       7  MatchDataMessage
  0x8206EE70       7  MatchDataSyncMessage
  0x8206EE98       7  MatchDataSyncResponseMessage
  0x8206EE48       7  MatchScoreMessage
  0x8206F3A8       7  MatchStatsMessage
  0x8206EA54       7  MatchTimeSyncMessage
  0x8206EA78       7  MatchTimeSyncRequestMessage
  0x8206F018       7  MatchTimeSyncRequestMessageEx
  0x82078E81       0  MatrixMND_rage
  0x82067CC8       0  MessageHandler_netConnectionManager_rage
  0x8205AA3C       0  MessageHandler_snConnectionManager_rage
  0x820668C8       1  MigrateWorker_rlSession_rage
  0x8206FBE5       0  NetBallHitManager
  0x8206FC6A      14  NetDataQuery
  0x8206FC5C       0  NetLoadingThread
  0x8206796C       3  NetMatchTimer
  0x8206FDD1      14  NetStateSync
  0x8206FBBC       3  NetTimedMessageSortedQueue
  0x82067958       3  NetTimer
  0x82067944       3  NetTimerBase
  0x8206FC32       7  NetTuningData
  0x82067910       8  NetworkClient
  0x8206EE20       7  NextMatchMessage
  0x8206F1F8       7  NextMatchSpectatorMessage
  0x82067D08       0  NotifyHandler___rlNotifier_VrlAchievementReader_rage__X_rage
  0x82067CFE       0  NotifyHandler___rlNotifier_VrlAchievementWriter_rage__X_rage
  0x82067CF2       0  NotifyHandler___rlNotifier_VrlFriendsReader_rage__X_rage
  0x82067D14       0  NotifyHandler___rlNotifier_VrlGamerProfileReader_rage__X_rage
  0x820668D4       0  NotifyHandler___rlNotifier_VrlGamer_rage__X_rage
  0x82067D1C       0  NotifyHandler___rlNotifier_VrlQos_rage__UQosResult_12__rage
