; ===================================================================
; ALL FUNCTIONS WITH ADDRESSES AND CALL COUNTS
; Rockstar Table Tennis  -  default.xex  (pong_xenon_final.pe)
; Build: May 11 2006  |  SDK v2.0.2417  |  TT-2015
; Load base: 0x82000000  |  Entry: 0x8242BD20
; PDB: c:\soft_xpong\xpong\game\src\pong\xenon_final\pong.pdb
; ===================================================================

; ADDRESS        CALLS  NAME
; ------------  ------  ----------------------------------------

  0x820C0000       1x  sub_820C0000
  0x820C0038    1600x  sub_820C0038
  0x820C00C0    2013x  sub_820C00C0
  0x820C0120      12x  sub_820C0120
  0x820C0128       1x  sub_820C0128
  0x820C0170      22x  sub_820C0170
  0x820C01B8     191x  sub_820C01B8
  0x820C02D0     372x  sub_820C02D0
  0x820C0378       1x  sub_820C0378
  0x820C0B40     589x  sub_820C0B40
  0x820C0BA0       1x  sub_820C0BA0
  0x820C0BF0       2x  sub_820C0BF0
  0x820C0C50       0x  sub_820C0C50
  0x820C0CA0       1x  sub_820C0CA0
  0x820C1188       1x  sub_820C1188
  0x820C18B8       4x  sub_820C18B8
  0x820C1910       5x  sub_820C1910
  0x820C1978       1x  sub_820C1978
  0x820C1B90       1x  sub_820C1B90
  0x820C1CE8       1x  sub_820C1CE8
  0x820C1E68       1x  sub_820C1E68
  0x820C1FF0       1x  sub_820C1FF0
  0x820C2130       2x  sub_820C2130
  0x820C2290      14x  sub_820C2290
  0x820C2358       1x  sub_820C2358
  0x820C2678       1x  sub_820C2678
  0x820C2770       1x  sub_820C2770
  0x820C2858       3x  sub_820C2858
  0x820C28B0       2x  sub_820C28B0
  0x820C2980       3x  sub_820C2980
  0x820C29E0     273x  sub_820C29E0
  0x820C2A58       3x  sub_820C2A58
  0x820C2BA0       2x  sub_820C2BA0
  0x820C2C50       6x  sub_820C2C50
  0x820C2CA0       3x  sub_820C2CA0
  0x820C2CF0       3x  sub_820C2CF0
  0x820C2DA0       0x  sub_820C2DA0
  0x820C2DF0       1x  sub_820C2DF0
  0x820C2E18      70x  sub_820C2E18
  0x820C2E80       1x  sub_820C2E80
  0x820C2F80       2x  sub_820C2F80
  0x820C3040       0x  sub_820C3040
  0x820C30F8       1x  sub_820C30F8
  0x820C32B8       2x  sub_820C32B8
  0x820C33A8       1x  sub_820C33A8
  0x820C34E8       2x  sub_820C34E8
  0x820C3540       2x  sub_820C3540
  0x820C3658       0x  sub_820C3658
  0x820C36A8       4x  sub_820C36A8
  0x820C3700       1x  sub_820C3700
  0x820C3870       1x  sub_820C3870
  0x820C38A8       2x  sub_820C38A8
  0x820C39D8       3x  sub_820C39D8
  0x820C3AB0       3x  sub_820C3AB0
  0x820C3AC0       3x  sub_820C3AC0
  0x820C3AD8      53x  sub_820C3AD8
  0x820C3BC8      59x  sub_820C3BC8
  0x820C3C70       2x  sub_820C3C70
  0x820C3D48       2x  sub_820C3D48
  0x820C3DA0      14x  sub_820C3DA0
  0x820C3F10       6x  sub_820C3F10
  0x820C3F98      20x  sub_820C3F98
  0x820C4020       4x  sub_820C4020
  0x820C40A8      18x  sub_820C40A8
  0x820C41E8       0x  sub_820C41E8
  0x820C4248       6x  sub_820C4248
  0x820C42D8       8x  sub_820C42D8
  0x820C4340       8x  sub_820C4340
  0x820C43D0       1x  sub_820C43D0
  0x820C44A0       1x  sub_820C44A0
  0x820C46F0       0x  sub_820C46F0
  0x820C47A0       0x  sub_820C47A0
  0x820C47B0       0x  sub_820C47B0
  0x820C4850       0x  sub_820C4850
  0x820C4898       0x  sub_820C4898
  0x820C4948       0x  sub_820C4948
  0x820C49D0       0x  sub_820C49D0
  0x820C4A78       0x  sub_820C4A78
  0x820C4B20       0x  sub_820C4B20
  0x820C4C00       0x  sub_820C4C00
  0x820C4D30       0x  sub_820C4D30
  0x820C4D80       0x  sub_820C4D80
  0x820C4EC8       0x  sub_820C4EC8
  0x820C5120       0x  sub_820C5120
  0x820C51A0       0x  sub_820C51A0
  0x820C51A8       0x  sub_820C51A8
  0x820C5220       0x  sub_820C5220
  0x820C52F0       0x  sub_820C52F0
  0x820C5358       1x  sub_820C5358
  0x820C5378       5x  sub_820C5378
  0x820C5398       0x  sub_820C5398
  0x820C53E8       1x  sub_820C53E8
  0x820C5658       7x  sub_820C5658
  0x820C56B0       1x  sub_820C56B0
  0x820C5780       2x  sub_820C5780
  0x820C58B8       4x  sub_820C58B8
  0x820C59C0       1x  sub_820C59C0
  0x820C5D18       0x  sub_820C5D18
  0x820C5E68       1x  sub_820C5E68
  0x820C5FB8       2x  sub_820C5FB8
  0x820C60C8       0x  sub_820C60C8
  0x820C6180       1x  sub_820C6180
  0x820C6378       0x  sub_820C6378
  0x820C6840       0x  sub_820C6840
  0x820C69A0       2x  sub_820C69A0
  0x820C6B68       3x  sub_820C6B68
  0x820C6CF8       4x  sub_820C6CF8
  0x820C7038       2x  sub_820C7038
  0x820C7248       2x  sub_820C7248
  0x820C73E8       3x  sub_820C73E8
  0x820C7530       1x  sub_820C7530
  0x820C7890       2x  sub_820C7890
  0x820C7990       0x  sub_820C7990
  0x820C7A28       3x  sub_820C7A28
  0x820C7C78       8x  sub_820C7C78
  0x820C7CE8       5x  sub_820C7CE8
  0x820C7DB8       1x  sub_820C7DB8
  0x820C7F58       1x  sub_820C7F58
  0x820C8138       1x  sub_820C8138
  0x820C8618       0x  sub_820C8618
  0x820C8620       2x  sub_820C8620
  0x820C8698       1x  sub_820C8698
  0x820C8778       1x  sub_820C8778
  0x820C8858       1x  sub_820C8858
  0x820C88D8       2x  sub_820C88D8
  0x820C8958       4x  sub_820C8958
  0x820C8AC0       0x  sub_820C8AC0
  0x820C8B48       0x  sub_820C8B48
  0x820C8B80       0x  sub_820C8B80
  0x820C8D08       0x  sub_820C8D08
  0x820C8E30      10x  sub_820C8E30
  0x820C8EE0       0x  sub_820C8EE0
  0x820C8F80       0x  sub_820C8F80
  0x820C8FA8       2x  sub_820C8FA8
  0x820C9090       1x  sub_820C9090
  0x820C9168       0x  sub_820C9168
  0x820C9220       8x  sub_820C9220
  0x820C9340       1x  sub_820C9340
  0x820C96A0       1x  sub_820C96A0
  0x820C99B0      20x  sub_820C99B0
  0x820C9AC0       2x  sub_820C9AC0
  0x820C9CF8       3x  sub_820C9CF8
  0x820C9D98       1x  sub_820C9D98
  0x820C9EF8       0x  sub_820C9EF8
  0x820C9F40       3x  sub_820C9F40
  0x820CA080       1x  sub_820CA080
  0x820CA390       1x  sub_820CA390
  0x820CA488       1x  sub_820CA488
  0x820CA640       1x  sub_820CA640
  0x820CA790       1x  sub_820CA790
  0x820CA9A0       1x  sub_820CA9A0
  0x820CAB48       2x  sub_820CAB48
  0x820CAC78       5x  sub_820CAC78
  0x820CAF18       1x  sub_820CAF18
  0x820CB088       1x  sub_820CB088
  0x820CB130       1x  sub_820CB130
  0x820CB208       3x  sub_820CB208
  0x820CB368       2x  sub_820CB368
  0x820CB4D0       5x  sub_820CB4D0
  0x820CB598       5x  sub_820CB598
  0x820CB5F0       1x  sub_820CB5F0
  0x820CB680       5x  sub_820CB680
  0x820CB6A0       3x  sub_820CB6A0
  0x820CB6F0       4x  sub_820CB6F0
  0x820CB768      18x  sub_820CB768
  0x820CB800       8x  sub_820CB800
  0x820CB878       0x  sub_820CB878
  0x820CB910       0x  sub_820CB910
  0x820CB960       1x  sub_820CB960
  0x820CBA40       1x  sub_820CBA40
  0x820CBBC8       2x  sub_820CBBC8
  0x820CBF18       1x  sub_820CBF18
  0x820CC2C0       1x  sub_820CC2C0
  0x820CC3C8       2x  sub_820CC3C8
  0x820CC490       2x  sub_820CC490
  0x820CC5A8       2x  sub_820CC5A8
  0x820CC678       1x  sub_820CC678
  0x820CD228       1x  sub_820CD228
  0x820CD3B8       0x  sub_820CD3B8
  0x820CD468       1x  sub_820CD468
  0x820CD550       8x  sub_820CD550
  0x820CD598      19x  sub_820CD598
  0x820CD5F0      12x  sub_820CD5F0
  0x820CD660       6x  sub_820CD660
  0x820CD6B8       8x  sub_820CD6B8
  0x820CD738       2x  sub_820CD738
  0x820CD7B0       1x  sub_820CD7B0
  0x820CD908       2x  sub_820CD908
  0x820CDA58       1x  sub_820CDA58
  0x820CDCD8       0x  sub_820CDCD8
  0x820CDDC0       1x  sub_820CDDC0
  0x820CDE98       1x  sub_820CDE98
  0x820CE000       5x  sub_820CE000
