; ===================================================================
; GAME C-STYLE CLASSES (pong* gm* pcr* state* MatchData*)
; Rockstar Table Tennis  -  default.xex
; ===================================================================

; NOTE: TT uses pong*/gm*/pcr*/state* prefixes, not C* like GTA IV

; RTTI ADDR     VTABLE        VFUNCS  CLASS
; ------------  ------------  ------  --------------------------------------------------

  0x8207A554  0x82027534       0  pcrFaceAnimBlender
  0x8207A684  0x820276F4       0  pongCreatureType
  0x8207A6CC  0x820276EC       0  pongAnimationInfo
  0x8207A824  0x82027884       8  pongCreature
  0x8207A8C0  0x82027878       1  pongLookAtController
  0x8207AA64  0x82027CA4      58  pongCreatureInst
  0x8207AAFC  0x82027D9A      20  pongLookAtDriver
  0x8207AB40  0x82027DFA       0  pongMover
  0x8207AB94  0x82027E50       1  pongBlender
  0x8207ABF4  0x82027E1E      10  pcrEmoteBlender
  0x8207AC38  0x82027F44       0  pcrAnimObserverHash
  0x8207AC7C  0x82027F3C       0  pcrAnimObserver
  0x8207ACC0  0x82027ED8      22  pcrAnimObserved
  0x8207AD70  0x82027F74       7  pongHairData
  0x8207ADD0  0x82027F9C      19  pongBlendLookAtDriver
  0x8207AE14  0x82027FFC      17  pongLocomotionController
  0x8207AEF8  0x8202809E      20  pongSkelLookAtDriver
  0x8207AF40  0x8202810F       0  pcrSwingSolver
  0x8207AF9C  0x8202811E       1  pcrSwingBlender
  0x8207AFE8  0x82028150      22  pcrSwingBlend
  0x8207B038  0x820281B8       0  pcrServeBlender
  0x8207B0D0  0x820281D6      22  pcrServeData
  0x8207B120  0x82028268       9  pcrPostPointBlender
  0x8207B168  0x820282A0       0  pcrSwingSpaceMgr
  0x8207B1F0  0x820282B0      23  pcrAnimEvent
  0x8207B380  0x8202DBEE      22  pcrSwingMissSet
  0x8207B3D0  0x8202DC60      22  pcrSwingMissData
  0x8207B420  0x8202DCC8      22  pcrSwingAbortSet
  0x8207B470  0x8202DD38      22  pcrSwingSpace
  0x8207B510  0x8202DE04      22  pcrSwingSet
  0x8207B560  0x8202DE91      22  pcrSwingData
  0x8207B600  0x8202DEFC      22  pcrSwingAbortData
  0x8207B650  0x8202DF84      22  pcrJunkSwingData
  0x8207B6A0  0x8202DFEC      22  pcrEmoteData
  0x8207B6EC  0x8202E215      24  pcrAnimEventFootStomp
  0x8207B740  0x8202E1A5      24  pcrAnimEventFootStep
  0x8207B794  0x8202E135      24  pcrAnimEventFootScuff
  0x8207B7E8  0x8202E0C5      24  pcrAnimEventFootContact
  0x8207B83C  0x8202E055      24  pcrAnimEventFootAud
  0x8207B890  0x8202E2F5      24  pcrAnimEventMsg_s
  0x8207B8E8  0x8202E285      24  pcrAnimEventMsg
  0x8207B938  0x8202E43C      24  pcrSwingMissRangeHeading
  0x8207B98C  0x8202E3D4      24  pcrSwingMissRangeSphere
  0x8207B9DC  0x8202E36C      24  pcrSwingMissRange
  0x8207BE5C  0x8202F7DC       0  MatchData
  0x8207BEB8  0x8202F854      32  gmLogicNode
  0x8207BF3C  0x8202F7F3      22  gmLogic
  0x8207BFA0  0x8202FB8C      17  statePostPoint_gmLogicSwingPractice
  0x8207BFF0  0x8202FB40      17  stateReturnHit_gmLogicSwingPractice
