; ===================================================================
; TOP 300 MOST-CALLED FUNCTIONS
; Rockstar Table Tennis  -  default.xex  (pong_xenon_final.pe)
; Build: May 11 2006  |  SDK v2.0.2417  |  TT-2015
; Load base: 0x82000000  |  Entry: 0x8242BD20
; PDB: c:\soft_xpong\xpong\game\src\pong\xenon_final\pong.pdb
; ===================================================================

;  CALLS  ADDRESS       NAME
; ------  ------------  ----------------------------------------

    2361x  0x????????  nullsub_1
    2013x  0x820C00C0  sub_820C00C0
    1655x  0x824D2748  sub_824D2748
    1600x  0x820C0038  sub_820C0038
    1269x  0x????????  __savegprlr_29
    1063x  0x823F9318  sub_823F9318
    1021x  0x????????  __savegprlr_28
     841x  0x821A8F58  sub_821A8F58
     787x  0x821F99D0  sub_821F99D0
     717x  0x????????  __savegprlr_27
     698x  0x821F3498  sub_821F3498
     679x  0x822EB1E8  sub_822EB1E8
     664x  0x82228990  sub_82228990
     589x  0x820C0B40  sub_820C0B40
     581x  0x????????  __savegprlr_26
     529x  0x820DEC88  sub_820DEC88
     509x  0x82434100  sub_82434100
     478x  0x8225E6E0  sub_8225E6E0
     455x  0x8242FED0  sub_8242FED0
     433x  0x820F90D0  sub_820F90D0
     399x  0x????????  __savegprlr_25
     390x  0x821F9DE8  sub_821F9DE8
     372x  0x820C02D0  sub_820C02D0
     363x  0x82260268  sub_82260268
     329x  0x????????  __savegprlr_24
     286x  0x82179350  sub_82179350
     273x  0x820C29E0  sub_820C29E0
     271x  0x824D2818  sub_824D2818
     245x  0x823FA5C8  sub_823FA5C8
     240x  0x????????  __savegprlr_14
     225x  0x????????  __savegprlr_23
     199x  0x821A9420  sub_821A9420
     192x  0x822E5908  sub_822E5908
     191x  0x820C01B8  sub_820C01B8
     190x  0x823F9280  sub_823F9280
     184x  0x82121B00  sub_82121B00
     181x  0x824301D0  sub_824301D0
     179x  0x????????  __savegprlr_22
     174x  0x822E5F08  sub_822E5F08
     173x  0x822EB2A8  sub_822EB2A8
     172x  0x821A8588  sub_821A8588
     167x  0x82266558  sub_82266558
     166x  0x824ADC40  sub_824ADC40
     164x  0x82585DE8  RtlLeaveCriticalSection
     162x  0x82586228  KeTlsAlloc
     161x  0x822EB320  sub_822EB320
     160x  0x82586208  KeTlsGetValue
     159x  0x82433A40  sub_82433A40
     156x  0x82430978  sub_82430978
     154x  0x82491F28  sub_82491F28
     153x  0x8242C3B8  sub_8242C3B8
     149x  0x821792D8  sub_821792D8
     146x  0x824B3F80  sub_824B3F80
     145x  0x82222800  sub_82222800
     142x  0x82566F10  sub_82566F10
     137x  0x????????  __restfpr_28
     137x  0x82238DF8  sub_82238DF8
     136x  0x8225E408  sub_8225E408
     136x  0x????????  __savegprlr_21
     134x  0x820D6990  sub_820D6990
     134x  0x82555AD0  sub_82555AD0
     133x  0x8220B9B0  sub_8220B9B0
     133x  0x82569980  sub_82569980
     128x  0x82430120  sub_82430120
     128x  0x82184B60  sub_82184B60
     126x  0x82275CC8  sub_82275CC8
     126x  0x823DDA08  sub_823DDA08
     125x  0x82585DF8  RtlEnterCriticalSection
     125x  0x824D2688  sub_824D2688
     124x  0x????????  __savegprlr_20
     123x  0x823F94B8  sub_823F94B8
     122x  0x824ADC30  sub_824ADC30
     120x  0x82177B60  sub_82177B60
     115x  0x821C9D68  sub_821C9D68
     112x  0x823B4928  sub_823B4928
     107x  0x????????  __restfpr_26
     107x  0x82238D60  sub_82238D60
     105x  0x822E59C8  sub_822E59C8
     102x  0x8225E998  sub_8225E998
     102x  0x82372658  sub_82372658
     100x  0x821C9C00  sub_821C9C00
      99x  0x????????  __restfpr_27
      97x  0x82586308  KeReleaseSpinLockFromRaisedIrql
      97x  0x82586538  KfLowerIrql
      96x  0x82569394  sub_82569394
      96x  0x823726C0  sub_823726C0
      94x  0x????????  __savegprlr_19
      93x  0x822E3B38  sub_822E3B38
      93x  0x82566DC0  sub_82566DC0
      93x  0x82555878  sub_82555878
      91x  0x824355A8  sub_824355A8
      91x  0x82491EC0  sub_82491EC0
      89x  0x822386F0  sub_822386F0
      88x  0x????????  __savefpr_28
      86x  0x822E2E60  sub_822E2E60
      82x  0x822E5E88  sub_822E5E88
      82x  0x82586338  KeAcquireSpinLockAtRaisedIrql
      82x  0x82586528  KeRaiseIrqlToDpcLevel
      81x  0x82431308  sub_82431308
      81x  0x8235A980  sub_8235A980
      81x  0x822621B0  sub_822621B0
      81x  0x82568A40  sub_82568A40
      80x  0x82260E18  sub_82260E18
      80x  0x823EFAE0  sub_823EFAE0
      79x  0x824301D8  sub_824301D8
      78x  0x821AAEE8  sub_821AAEE8
      77x  0x????????  __savegprlr_18
      77x  0x82414128  sub_82414128
      75x  0x82431910  sub_82431910
      75x  0x821DC2A0  sub_821DC2A0
      75x  0x823EDA90  sub_823EDA90
      74x  0x822E3CD8  sub_822E3CD8
      74x  0x823B3D80  sub_823B3D80
      73x  0x823ED988  sub_823ED988
      71x  0x????????  __savegprlr_17
      71x  0x82566F98  sub_82566F98
      70x  0x822E3040  sub_822E3040
      70x  0x820C2E18  sub_820C2E18
      68x  0x8225DDE8  sub_8225DDE8
      68x  0x82216F68  sub_82216F68
      67x  0x822E3828  sub_822E3828
      67x  0x8225E480  sub_8225E480
      67x  0x824302B0  sub_824302B0
      66x  0x82216E08  sub_82216E08
      66x  0x823EC068  sub_823EC068
      65x  0x82372840  sub_82372840
      64x  0x822E51F0  sub_822E51F0
      64x  0x821EB1E0  sub_821EB1E0
      64x  0x823F9808  sub_823F9808
      63x  0x82486438  sub_82486438
      63x  0x824A0E98  sub_824A0E98
      61x  0x821BC2F8  sub_821BC2F8
      60x  0x82260448  sub_82260448
      59x  0x820C3BC8  sub_820C3BC8
      58x  0x821A8988  sub_821A8988
      58x  0x8215A830  sub_8215A830
      58x  0x8214AC78  sub_8214AC78
      57x  0x821DFFF8  sub_821DFFF8
      57x  0x824A1010  sub_824A1010
      56x  0x????????  __savefpr_27
      56x  0x82371BF8  sub_82371BF8
      53x  0x820C3AD8  sub_820C3AD8
      53x  0x8223B218  sub_8223B218
      53x  0x????????  __savefpr_26
      53x  0x820D68A8  sub_820D68A8
      53x  0x8215A368  sub_8215A368
      52x  0x821538C0  sub_821538C0
      52x  0x822752F0  sub_822752F0
      52x  0x824F7698  sub_824F7698
      51x  0x820D6838  sub_820D6838
      51x  0x82566898  sub_82566898
      51x  0x82566C88  sub_82566C88
      50x  0x82566C40  sub_82566C40
      49x  0x82238AE0  sub_82238AE0
      48x  0x82238758  sub_82238758
      48x  0x823B2BA8  sub_823B2BA8
      47x  0x823AD430  sub_823AD430
      46x  0x82430030  sub_82430030
      45x  0x82142278  sub_82142278
      45x  0x823EF850  sub_823EF850
      45x  0x82435458  sub_82435458
      44x  0x820DF0A8  sub_820DF0A8
      44x  0x822E39B0  sub_822E39B0
      44x  0x822EBC10  sub_822EBC10
      44x  0x82492340  sub_82492340
      43x  0x82157578  sub_82157578
      43x  0x82184BD8  sub_82184BD8
      42x  0x8215ADD0  sub_8215ADD0
      42x  0x????????  __savegprlr_16
      42x  0x823FA688  sub_823FA688
      41x  0x82430FE0  sub_82430FE0
      41x  0x824367A0  sub_824367A0
      40x  0x8242C3B0  sub_8242C3B0
      40x  0x823EA250  sub_823EA250
      40x  0x823B4508  sub_823B4508
      39x  0x82132990  sub_82132990
      39x  0x822EBC98  sub_822EBC98
      39x  0x82373810  sub_82373810
      39x  0x823B58E8  sub_823B58E8
      38x  0x821C9B70  sub_821C9B70
      38x  0x822E5550  sub_822E5550
      38x  0x82152A78  sub_82152A78
      37x  0x8215A2F8  sub_8215A2F8
      37x  0x822228B8  sub_822228B8
      37x  0x821621B8  sub_821621B8
      37x  0x82566B78  sub_82566B78
      37x  0x822615F8  sub_822615F8
      37x  0x821B5ED8  sub_821B5ED8
      37x  0x823FA768  sub_823FA768
      36x  0x822665C0  sub_822665C0
      36x  0x82432120  sub_82432120
      36x  0x824321F0  sub_824321F0
      36x  0x82276E48  sub_82276E48
      36x  0x82237410  sub_82237410
      36x  0x8236C838  sub_8236C838
      36x  0x824F6508  sub_824F6508
      35x  0x8242F7D0  sub_8242F7D0
      35x  0x8225FFF8  sub_8225FFF8
      35x  0x????????  __savegprlr_15
      35x  0x82178DD8  sub_82178DD8
      35x  0x82465B78  sub_82465B78
      35x  0x8242C330  sub_8242C330
