; ===================================================================
; LEAF FUNCTIONS — MAKE NO OUTGOING CALLS (likely math/physics primitives)
; Rockstar Table Tennis  -  default.xex
; ===================================================================

; ADDRESS         NAME
; --------------  ----------------------------------------

  0x820C0000  sub_820C0000  [called 1x]
  0x820C0120  sub_820C0120  [called 12x]
  0x820C0BF0  sub_820C0BF0  [called 1x]
  0x820C1910  sub_820C1910  [called 3x]
  0x820C1FF0  sub_820C1FF0  [called 1x]
  0x820C2130  sub_820C2130  [called 2x]
  0x820C2290  sub_820C2290  [called 1x]
  0x820C2BA0  sub_820C2BA0  [called 2x]
  0x820C2C50  sub_820C2C50  [called 1x]
  0x820C2CA0  sub_820C2CA0  [called 1x]
  0x820C2CF0  sub_820C2CF0  [called 1x]
  0x820C2DF0  sub_820C2DF0  [called 1x]
  0x820C2E18  sub_820C2E18  [called 19x]
  0x820C36A8  sub_820C36A8  [called 4x]
  0x820C3870  sub_820C3870  [called 1x]
  0x820C3AB0  sub_820C3AB0  [called 3x]
  0x820C3AC0  sub_820C3AC0  [called 3x]
  0x820C3AD8  sub_820C3AD8  [called 26x]
  0x820C3BC8  sub_820C3BC8  [called 36x]
  0x820C3C70  sub_820C3C70  [called 2x]
  0x820C42D8  sub_820C42D8  [called 8x]
  0x820C43D0  sub_820C43D0  [called 1x]
  0x820C47A0  sub_820C47A0  [called 0x]
  0x820C4850  sub_820C4850  [called 0x]
  0x820C4898  sub_820C4898  [called 0x]
  0x820C4948  sub_820C4948  [called 0x]
  0x820C49D0  sub_820C49D0  [called 0x]
  0x820C4A78  sub_820C4A78  [called 0x]
  0x820C4D30  sub_820C4D30  [called 0x]
  0x820C51A0  sub_820C51A0  [called 0x]
  0x820C5220  sub_820C5220  [called 0x]
  0x820C5358  sub_820C5358  [called 1x]
  0x820C5378  sub_820C5378  [called 3x]
  0x820C58B8  sub_820C58B8  [called 2x]
  0x820C7DB8  sub_820C7DB8  [called 1x]
  0x820C8618  sub_820C8618  [called 0x]
  0x820C8698  sub_820C8698  [called 1x]
  0x820C8B48  sub_820C8B48  [called 0x]
  0x820C9220  sub_820C9220  [called 8x]
  0x820C99B0  sub_820C99B0  [called 10x]
  0x820CA390  sub_820CA390  [called 1x]
  0x820CB088  sub_820CB088  [called 1x]
  0x820CB598  sub_820CB598  [called 3x]
  0x820CB5F0  sub_820CB5F0  [called 1x]
  0x820CB680  sub_820CB680  [called 1x]
  0x820CBA40  sub_820CBA40  [called 1x]
  0x820CC2C0  sub_820CC2C0  [called 1x]
  0x820CD3B8  sub_820CD3B8  [called 0x]
  0x820CD468  sub_820CD468  [called 1x]
  0x820CD550  sub_820CD550  [called 6x]
  0x820CD598  sub_820CD598  [called 16x]
  0x820CD5F0  sub_820CD5F0  [called 10x]
  0x820CD660  sub_820CD660  [called 6x]
  0x820CD6B8  sub_820CD6B8  [called 6x]
  0x820CD738  sub_820CD738  [called 2x]
  0x820CE000  sub_820CE000  [called 5x]
  0x820CE380  sub_820CE380  [called 1x]
  0x820CE3F0  sub_820CE3F0  [called 2x]
  0x820CEB70  sub_820CEB70  [called 0x]
  0x820CEB78  sub_820CEB78  [called 1x]
  0x820CF728  sub_820CF728  [called 1x]
